condition,intervention,setting,seed,final_train_return,final_test_return,final_train_success,final_test_success,gap,success_gap,sample_efficiency_auc
baseline,baseline,-,0,0.8796875476837158,-0.5210996270179749,0.96875,0.16,1.4007871747016907,0.80875,-0.550186276435852
baseline,baseline,-,1,0.9326562881469727,-0.48519957065582275,1.0,0.18,1.4178558588027954,0.8200000000000001,-0.6206730008125305
baseline,baseline,-,2,0.8792188167572021,-0.5733996033668518,0.96875,0.13,1.452618420124054,0.83875,-0.5976330041885376
baseline,baseline,-,3,0.9332813024520874,-0.48609963059425354,1.0,0.18,1.419380933046341,0.8200000000000001,-0.5035996437072754
baseline,baseline,-,4,0.9057812690734863,-0.38069969415664673,0.984375,0.24,1.286480963230133,0.744375,-0.4244729280471802
baseline,baseline,-,5,0.9329687356948853,-0.6247996091842651,1.0,0.1,1.5577683448791504,0.9,-0.6587730050086975
baseline,baseline,-,6,0.9332813024520874,-0.38389965891838074,1.0,0.24,1.3171809613704681,0.76,-0.593393087387085
baseline,baseline,-,7,0.8518750667572021,-0.5715996026992798,0.953125,0.13,1.423474669456482,0.823125,-0.5809863209724426
levels,n_train,2,0,0.9350000023841858,-0.7820996642112732,1.0,0.01,1.717099666595459,0.99,-0.7597596645355225
levels,n_train,2,1,0.9350000023841858,-0.7821996212005615,1.0,0.01,1.7171996235847473,0.99,-0.7635596394538879
levels,n_train,2,2,0.9350000023841858,-0.7642996311187744,1.0,0.02,1.6992996335029602,0.98,-0.7578529715538025
levels,n_train,2,3,0.0950002372264862,-0.7823997735977173,0.5,0.01,0.8774000108242035,0.49,-0.7661396861076355
levels,n_train,2,4,0.9350000023841858,-0.7642996907234192,1.0,0.02,1.699299693107605,0.98,-0.7465263605117798
levels,n_train,2,5,0.9350000023841858,-0.7643997073173523,1.0,0.02,1.699399709701538,0.98,-0.7657596468925476
levels,n_train,2,6,0.9350000023841858,-0.6942996978759766,1.0,0.06,1.6292997002601624,0.94,-0.7435997128486633
levels,n_train,2,7,0.9350000023841858,-0.7823997735977173,1.0,0.01,1.717399775981903,0.99,-0.7764331698417664
levels,n_train,4,0,0.5025001168251038,-0.7116996645927429,0.75,0.05,1.2141997814178467,0.7,-0.751552939414978
levels,n_train,4,1,0.9225000143051147,-0.7289997935295105,1.0,0.04,1.6514998078346252,0.96,-0.7596996426582336
levels,n_train,4,2,0.49500012397766113,-0.7642996907234192,0.75,0.02,1.2592998147010803,0.73,-0.7763863205909729
levels,n_train,4,3,0.9075000286102295,-0.7114996314048767,1.0,0.05,1.6189996600151062,0.95,-0.7387063503265381
levels,n_train,4,4,0.49500012397766113,-0.7642996311187744,0.75,0.02,1.2592997550964355,0.73,-0.760786235332489
levels,n_train,4,5,0.9225000143051147,-0.7820996642112732,1.0,0.01,1.704599678516388,0.99,-0.7788264155387878
levels,n_train,4,6,0.9225000143051147,-0.7644996643066406,1.0,0.02,1.6869996786117554,0.98,-0.775166392326355
levels,n_train,4,7,0.49500012397766113,-0.7642996907234192,0.75,0.02,1.2592998147010803,0.73,-0.7595329880714417
levels,n_train,16,0,0.9212499856948853,-0.7820996642112732,1.0,0.01,1.7033496499061584,0.99,-0.7576264142990112
levels,n_train,16,1,0.9212499856948853,-0.7820996642112732,1.0,0.01,1.7033496499061584,0.99,-0.7719329595565796
